ISSUE_ID,MEMBER_SSN,STAFF_SSN,ISBN,ISSUE_DATE,NOTICE_DATE,GRACE_PERIOD_DAYS,BOOK_DUE_DATE
1,2123456789,60987103,553588486,09/01/21,12/09/21,120,01/13/22
2,2345673212,582418275,143038419,9/3/2020,10/1/2021,28,10/8/2019
3,4567342215,316098337,786838655,9/4/2021,1/6/2021,120,1/16/2020
4,8364849404,521618746,451529308,19/4/2021,29/4/2021,120,1/17/2020
5,6542315900,340839937,142437204,29/7/2020,10/2/2021,28,10/12/2019
6,1579011256,316346624,553816713,11/4/2020,11/5/2021,120,1/21/2020
7,142001740,1451648537,770430074,9/10/2019,10/10/2019,28,10/15/2019
8,142437174,451163966,1565125606,9/12/2020,10/10/2021,28,10/17/2019
9,64410935,684830493,375831002,9/13/2020,10/13/2021,28,10/18/2019
10,2123456789,142000663,307347974,9/15/2020,1/13/2021,120,1/27/2020
11,2345673212,1401308589,316160199,9/17/2020,10/15/2021,28,10/22/2019
,,,,,,,
,,,,,,,
,,,,,,,
