SSN,Name,Staff_Type
60987103,Mr. Robert,Librarian
582418275,Mr. Suleman,chief librarian
316098337,Mr. Roger,departmental associate librarian
521618746,Mr. David,reference librarian
340839937,Mr. Hadyen,check-out staff 
316346624,Mr. Ali,library assistant
1451648537,Mrs. Linda,Librarian
451163966,Mrs. Cheimy,chief librarian
684830493,Mrs. Lily,departmental associate librarian
142000663,Mrs. Lousia,departmental associate librarian
1401308589,Mrs. Katie,reference librarian
451528824,Mrs. Hethegirl,check-out staff 
1416914307,Ninja II,library assistant
055357342X,Alibaba,Librarian
